latitude,longitude,name,source,precision,,
42.156672,-87.867387,"202 North Wilmot Road, Deerfield, Illinois 60015",findlatandlong,address,,
42.104845,-87.746913,"1155 West Oak Street, Winnetka, Illinois 60093",findlatandlong,address,,
42.023265,-87.69902,"303 Dodge Avenue, Chicago, Illinois 60202",findlatandlong,address,,
42.152415,-87.941526,"1025 East Lake Cook Road, Wheeling, Illinois 60090",findlatandlong,address,,
42.228495,-87.945704,"165 North Lakeview Parkway, Vernon Hills, Illinois 60061",findlatandlong,address,,
41.902882,-87.807554,"7200 W. Division Street, River Forest, Illinois 60305",findlatandlong,address,,
41.749779,-87.709165,"3450-52 W. 79th Street, Chicago, Illinois 60652",findlatandlong,address,,
41.816108,-88.009628,"3905 South Higland Avenue, Downers Grove, Illinois 60515",findlatandlong,address,,
41.97533,-88.205645,"795 South Route 59, Bartlett, Illinois 60103",findlatandlong,address,,
41.933128,-88.770855,"Gabel Hall 169 and 170, DeKalb, Illinois 60115",findlatandlong,address,,
38.796882,-89.965712,"795 Northwest University Drive, Edwardsville, Illinois 62026",findlatandlong,address,,
41.832525,-88.053474,"2 South 726 Route 53, Glen Ellyn, Illinois 60137",findlatandlong,address,,
42.254706,-88.022332,"695 South Route 83, Mundelein, Illinois 60060",findlatandlong,address,,
41.93786,-88.401715,"40 W 170 LaFox Road, St. Charles, Illinois 60175",findlatandlong,address,,
42.304062,-87.869274,"3110 Great Lakes Drive, Great Lakes, Illinois 60088",Google,address,,
41.687832,-88.206372,"4512 Walton Heath Drive, Naperville, Illinois 60564",Google,address,,
41.860221,-87.791451,"1448 Westley, Berwyn, Illinois 60402",Google,address,,
42.304070,-87.897105,"200 Abbott Park Road, Abbott Park, Illinois 60064",Google,address,,
41.518560,-90.531555,"1 Rock Island Aresenal, Rock Island, Illinois 61299",Google,address,,
41.843346,-87.781218,"6304 West 26th Street, Berwyn, Illinois 60402",MapQuest Open,address,,
42.303294,-87.863867,"2700 Cavin Drive, Great Lakes, Illinois 60088",MapQuest Open,address,,
40.693358,-89.606066,"800 W. Romeo B. Garrett Avenue, Peoria, Illinois 61605",MapQuest Open,address,,
41.7657897,-87.6137627,"440 E. 71st Street, Chicago, Illinois 60619",Bing Maps,address,,
41.946156,-87.760716,"5332 West Addison Street, Chicago, Illinois 60641",MapQuest Open,address,,
41.891855,-88.326017,"1776 West State Street, Geneva, Illinois 60134",MapQuest Open,address,,
41.646067,-87.637081,"13751 S. Lowe Avenue, Riverdale, Illinois 60827",MapQuest Open,address,,
41.8022118,-87.6215134,"118 E. 51st, Chicago, Illinois 60615",Bing Maps,address,,
41.7761806,-87.6428767,"710 W. 65th Street, Chicago, Illinois 60621",Bing Maps,address,,
42.3979378,-87.8753204,"2500 N. Northern Avenue, Waukegan, Illinois 60087",Bing Maps,address,,
42.1080971,-87.8749542,"3835 Willow Road, Northbrook, Illinois 60062",Bing Maps,address,,
41.888437,-87.7868604,"460 Lake Street, Oak Park, Illinois 60302",Bing Maps,address,,
42.0080649,-87.7269144,"3925 W. Lunt Avenue, Lincolnwood, Illinois 60712",Bing Maps,address,,
42.2572971,-87.8632115,"1100 N. Westmoreland, Lake Forest, Illinois 60045",Bing Maps,address,,
42.0319672,-87.6805038,"740 Custer Avenue, Evanston, Illinois 60202",Bing Maps,address,,
